wallet,lamports,sol,tx_count,first_tx,last_tx,pct_of_total
EGd1LDTqhDraJSjbN3kDMaV6P5375tT9RNjCEebX46cf,69000000000,69.000000000,1,1730128990,1730128990,0.174117
677DgwF4zYuXSCFxrXRuWykUgGaoR9jhkPTM3QpsJqY8,68000000000,68.000000000,1,1730118220,1730118220,0.171593
75dXswSSNxyCbjHMbnTV3qbLj4ejupzGfM4Sj5uJjAyM,66000000000,66.000000000,3,1729899410,1729980046,0.166547
65rDVnkdDoirTMUrhsCa4ZaFHfahBCHpGDJosr834tGL,65000000000,65.000000000,2,1729915465,1729970120,0.164023
CTgWnXaDmKkACE4EVyZAMqzrMKAxuqQmYFeQ3yMndHbG,65000000000,65.000000000,3,1729959865,1730034946,0.164023
DNZPH9rT1WyFawbtakDkkhN3sxfziNgQfWhaq8K1XZX9,65000000000,65.000000000,1,1730041863,1730041863,0.164023
ADQ8hVkZGHJMF9kHuwVJgPCqGVgnfohL4KCahVmCtk13,63000000000,63.000000000,1,1730119450,1730119450,0.158976
ArxmGZy2eTRA1ZSodyUeNzGuAeoQEfiQgQZy7zkDA3jR,62000000000,62.000000000,1,1730131241,1730131241,0.156453
3Qx5394vxnYZmRPeJuBwer8Hjs8Kw1S57dXb6SNqZr4v,60000000000,60.000000000,1,1730045360,1730045360,0.151406
5nzqXBVkxuqZajX3uVTatibd47ymG7aFRERHh2U3wYEP,60000000000,60.000000000,1,1729896198,1729896198,0.151406
6kQsEQJ9QpuaF46VZyQkWirmdREs8voWTZURosC5TEPu,60000000000,60.000000000,1,1729889946,1729889946,0.151406
7ExBGKpSkWYJPz9jU6BLarg8xk2tuvwZ1kTdF1Hb952R,60000000000,60.000000000,1,1730116268,1730116268,0.151406
7nN7cEDzjjdhJnAQ3bLk5f7U6SNVnkFnmRqYEHitoNo7,60000000000,60.000000000,1,1729872915,1729872915,0.151406
7uVjLRsTHVcBzN1vfKvCuFkkerqDQtiHWF7uZRriy7Fs,60000000000,60.000000000,1,1730114605,1730114605,0.151406
AnHZ1zjbr3EURxYg3SFW33jbxGLDw7Y9ZLktmhTgQfW,60000000000,60.000000000,1,1730046492,1730046492,0.151406
ApRnQN2HkbCn7W2WWiT2FEKvuKJp9LugRyAE1a9Hdz1,60000000000,60.000000000,1,1729876375,1729876375,0.151406
BXAWg4JbaeyvAHpiyYQ3Xr3bUh6FsyDHwwSkB5dmyGF,60000000000,60.000000000,2,1729881538,1729973214,0.151406
Cxws1oSdB5bQ1g7e7M2f3DDhWS98VquFiuiSF1KioL9n,60000000000,60.000000000,1,1730118825,1730118825,0.151406
ERJfPR9drtJFiWsGXwLNTSTLhnZVEwm1juckwhBYTVZ3,60000000000,60.000000000,1,1730094310,1730094310,0.151406
GA8LdxZxhaYs5i4PnTnWUFWqjDa58B95mcssZuaKo8mn,60000000000,60.000000000,1,1729910834,1729910834,0.151406
GrG7nP2DeZEhHJ8gtRVU6Wv6HGoEnRf7XRFKTKNFSUP5,60000000000,60.000000000,1,1730053879,1730053879,0.151406
H1aJJEdUEonXu9mLaYhsu35PHGYUzm2cSnEkJ63ZCf1w,60000000000,60.000000000,1,1730128298,1730128298,0.151406
7XKJa1pR8qadzf77mE45fXbRFREpCu8A2qFrJYV35Ab9,58500000000,58.500000000,1,1730121059,1730121059,0.147621
CkPgnhbQaV5XuDD4ni5tCqiWpuUPmKKpq4TT9JdujnzD,58000000000,58.000000000,1,1730097131,1730097131,0.146359
84dvL75UnJjwrh5UeuB2RKiVUgUrXPPeEkUgLjX34USs,57351135072,57.351135072,1,1730089883,1730089883,0.144722
8SeFvLjTVpos8zRhyDPSzk4TQbiSeKd5SfozPgXnLZXD,57000000000,57.000000000,9,1729887127,1730131160,0.143836
DwrvtoiZ1PW431MR8FAwhij9CbD3qdPY4wvGubNNGUZg,57000000000,57.000000000,1,1730039785,1730039785,0.143836
GuH6juXo6at2K74ehXAzkVSA42KjMQH896gaiq62CeSm,57000000000,57.000000000,1,1730083662,1730083662,0.143836
5294XBz8kpsy1nNDjD15detFvknBjyWY4rDcXNyQUF4X,56380000000,56.380000000,1,1730120866,1730120866,0.142271
9ca6CBDYr3YxNuc1RzLAd6mfExXcmz8cPFosV5gDAPhh,55000000000,55.000000000,2,1729905385,1729905652,0.138789
A4H9f41rngpzGE3ZUJTyBxLfB9LtH3q6WtGcwcyK544C,55000000000,55.000000000,2,1730130572,1730131107,0.138789
DbDi7soBXALYRMZSyJMEAfpaK3rD1hr5HuCYzuDrcEEN,55000000000,55.000000000,3,1729880507,1730013821,0.138789
4BDRmvb45LYSTzWjSew4BJ49y27ZkuyRNb41nttiqc5N,53000000000,53.000000000,3,1729878313,1730125180,0.133742
GBdVvvkPpqVUn922PVZesMj5UsyVs7qKUyCT3zrzpPoX,52800000000,52.800000000,5,1729879998,1730081231,0.133237
95Fzx6kE8GvzYiJwHY8aFsoTWTxUpfBKaZJ69Do8mniq,52000000000,52.000000000,1,1730073746,1730073746,0.131219
4qCUF79Tj8inGb5xv9BxV61RvoEiGpYAUrac23MTqUvn,51500000001,51.500000001,1,1729986566,1729986566,0.129957
